component_id,lot_id,initial_measurement,burn_in_24h,burn_in_96h,final_burn_in_reading,label,defect_pattern
COMP-00001,LOT-001,9.806,9.824,9.805,9.983,NORMAL,
COMP-00002,LOT-001,9.164,9.282,9.21,9.298,NORMAL,
COMP-00003,LOT-001,9.186,11.695,14.687,20.946,ANOMALY,Infant Mortality
COMP-00004,LOT-001,9.385,9.454,9.441,9.505,NORMAL,
COMP-00005,LOT-001,9.147,9.202,9.19,9.3,NORMAL,
COMP-00006,LOT-001,9.415,9.593,13.061,19.969,ANOMALY,Random Failure
COMP-00007,LOT-001,9.658,13.382,16.281,21.223,ANOMALY,Infant Mortality
COMP-00008,LOT-001,9.128,9.175,9.084,9.155,NORMAL,
COMP-00009,LOT-001,9.244,9.353,9.259,9.4,NORMAL,
COMP-00010,LOT-001,9.239,9.333,9.282,9.41,NORMAL,
COMP-00011,LOT-002,9.133,9.133,9.206,9.222,NORMAL,
COMP-00012,LOT-002,9.83,9.79,9.874,9.961,NORMAL,
COMP-00013,LOT-002,9.081,13.135,14.089,21.923,ANOMALY,Early Life Failure
COMP-00014,LOT-002,9.652,9.587,9.636,9.62,NORMAL,
COMP-00015,LOT-002,9.575,13.442,16.804,19.856,ANOMALY,Infant Mortality
COMP-00016,LOT-002,9.599,9.696,13.069,19.483,ANOMALY,Random Failure
COMP-00017,LOT-002,9.253,9.205,9.355,9.269,NORMAL,
COMP-00018,LOT-002,9.637,12.612,16.982,21.546,ANOMALY,Infant Mortality
COMP-00019,LOT-002,9.845,9.917,9.825,10.014,NORMAL,
COMP-00020,LOT-002,9.616,9.715,9.755,9.754,NORMAL,
COMP-00021,LOT-003,9.361,9.694,14.44,20.555,ANOMALY,Random Failure
COMP-00022,LOT-003,9.508,9.444,9.608,9.667,NORMAL,
COMP-00023,LOT-003,9.867,9.836,10.009,9.964,NORMAL,
COMP-00024,LOT-003,9.696,9.811,9.713,9.769,NORMAL,
COMP-00025,LOT-003,9.217,9.18,9.238,9.29,NORMAL,
COMP-00026,LOT-003,9.766,12.909,14.503,21.709,ANOMALY,Infant Mortality
COMP-00027,LOT-003,9.276,9.464,12.956,19.626,ANOMALY,Random Failure
COMP-00028,LOT-003,9.276,9.375,9.314,9.365,NORMAL,
COMP-00029,LOT-003,9.618,9.669,9.707,9.715,NORMAL,
COMP-00030,LOT-003,9.448,9.429,9.561,9.583,NORMAL,
COMP-00031,LOT-004,9.904,12.956,14.88,19.49,ANOMALY,Infant Mortality
COMP-00032,LOT-004,9.721,9.719,9.695,9.758,NORMAL,
COMP-00033,LOT-004,9.896,9.913,9.887,9.997,NORMAL,
COMP-00034,LOT-004,9.235,9.204,9.348,9.334,NORMAL,
COMP-00035,LOT-004,9.469,9.412,9.535,9.44,NORMAL,
COMP-00036,LOT-004,9.265,9.375,9.26,9.348,NORMAL,
COMP-00037,LOT-004,9.165,11.948,14.868,19.756,ANOMALY,Wear-out
COMP-00038,LOT-004,9.509,9.494,9.532,9.514,NORMAL,
COMP-00039,LOT-004,9.356,11.894,15.917,21.038,ANOMALY,Infant Mortality
COMP-00040,LOT-004,9.742,9.792,9.84,9.795,NORMAL,
COMP-00041,LOT-005,9.062,9.132,9.115,9.113,NORMAL,
COMP-00042,LOT-005,9.713,10.058,12.296,19.651,ANOMALY,Random Failure
COMP-00043,LOT-005,9.365,9.322,9.393,9.4,NORMAL,
COMP-00044,LOT-005,9.128,13.069,14.477,20.381,ANOMALY,Wear-out
COMP-00045,LOT-005,9.354,9.343,9.315,9.447,NORMAL,
COMP-00046,LOT-005,9.736,9.787,9.808,9.916,NORMAL,
COMP-00047,LOT-005,9.462,9.426,9.557,9.446,NORMAL,
COMP-00048,LOT-005,9.271,12.951,16.127,20.93,ANOMALY,Early Life Failure
COMP-00049,LOT-005,9.255,9.274,9.297,9.267,NORMAL,
COMP-00050,LOT-005,9.788,12.951,16.723,21.891,ANOMALY,Early Life Failure
COMP-00051,LOT-006,9.19,9.14,9.268,9.145,NORMAL,
COMP-00052,LOT-006,9.234,9.296,9.216,9.275,NORMAL,
COMP-00053,LOT-006,9.852,9.78,9.81,10.013,NORMAL,
COMP-00054,LOT-006,9.886,12.187,16.3,21.064,ANOMALY,Infant Mortality
COMP-00055,LOT-006,9.652,9.669,9.68,9.831,NORMAL,
COMP-00056,LOT-006,9.613,9.599,9.748,9.79,NORMAL,
COMP-00057,LOT-006,9.523,9.603,9.523,9.553,NORMAL,
COMP-00058,LOT-006,9.115,9.065,9.24,9.203,NORMAL,
COMP-00059,LOT-006,9.663,9.745,9.757,9.838,NORMAL,
COMP-00060,LOT-006,9.34,9.354,9.474,9.334,NORMAL,
COMP-00061,LOT-007,9.216,9.298,9.342,9.356,NORMAL,
COMP-00062,LOT-007,9.676,9.66,9.725,9.667,NORMAL,
COMP-00063,LOT-007,9.311,12.482,16.209,20.751,ANOMALY,Wear-out
COMP-00064,LOT-007,9.145,9.221,9.128,9.121,NORMAL,
COMP-00065,LOT-007,9.503,9.533,9.534,9.627,NORMAL,
COMP-00066,LOT-007,9.479,9.495,9.501,9.455,NORMAL,
COMP-00067,LOT-007,9.195,9.243,9.184,9.227,NORMAL,
COMP-00068,LOT-007,9.241,9.345,9.365,9.199,NORMAL,
COMP-00069,LOT-007,9.105,11.727,14.319,19.176,ANOMALY,Early Life Failure
COMP-00070,LOT-007,9.54,9.621,9.531,9.632,NORMAL,
COMP-00071,LOT-008,9.444,9.385,9.573,9.456,NORMAL,
COMP-00072,LOT-008,9.661,9.637,9.768,9.757,NORMAL,
COMP-00073,LOT-008,9.366,9.365,9.44,9.542,NORMAL,
COMP-00074,LOT-008,9.192,9.193,9.313,9.369,NORMAL,
COMP-00075,LOT-008,9.944,12.969,14.962,20.609,ANOMALY,Wear-out
COMP-00076,LOT-008,9.598,9.717,12.322,20.378,ANOMALY,Random Failure
COMP-00077,LOT-008,9.89,9.972,9.885,10.026,NORMAL,
COMP-00078,LOT-008,9.246,9.319,9.215,9.236,NORMAL,
COMP-00079,LOT-008,9.869,9.927,9.884,9.843,NORMAL,
COMP-00080,LOT-008,9.835,9.765,9.8,9.828,NORMAL,
COMP-00081,LOT-009,9.545,9.482,9.502,9.589,NORMAL,
COMP-00082,LOT-009,9.303,9.565,12.861,21.095,ANOMALY,Random Failure
COMP-00083,LOT-009,9.319,9.371,13.729,20.773,ANOMALY,Random Failure
COMP-00084,LOT-009,9.653,9.715,9.77,9.767,NORMAL,
COMP-00085,LOT-009,9.385,9.33,9.367,9.421,NORMAL,
COMP-00086,LOT-009,9.38,9.4,9.492,9.548,NORMAL,
COMP-00087,LOT-009,9.523,9.605,9.573,9.698,NORMAL,
COMP-00088,LOT-009,9.818,9.885,9.929,9.853,NORMAL,
COMP-00089,LOT-009,9.06,9.069,9.177,9.15,NORMAL,
COMP-00090,LOT-009,9.372,9.339,9.41,9.393,NORMAL,
COMP-00091,LOT-010,9.354,9.378,9.404,9.48,NORMAL,
COMP-00092,LOT-010,9.109,9.14,9.121,9.176,NORMAL,
COMP-00093,LOT-010,9.133,9.236,9.194,9.299,NORMAL,
COMP-00094,LOT-010,9.368,9.328,9.403,9.505,NORMAL,
COMP-00095,LOT-010,9.196,9.126,9.307,9.351,NORMAL,
COMP-00096,LOT-010,9.179,9.294,9.24,9.284,NORMAL,
COMP-00097,LOT-010,9.053,9.041,9.182,9.229,NORMAL,
COMP-00098,LOT-010,9.766,9.693,9.897,9.721,NORMAL,
COMP-00099,LOT-010,9.841,9.934,9.891,9.999,NORMAL,
COMP-00100,LOT-010,9.706,9.765,9.78,9.739,NORMAL,
COMP-00101,LOT-011,9.247,9.317,9.203,9.318,NORMAL,
COMP-00102,LOT-011,9.25,12.2,16.568,19.269,ANOMALY,Wear-out
COMP-00103,LOT-011,9.533,9.472,9.544,9.688,NORMAL,
COMP-00104,LOT-011,9.191,9.268,9.233,9.244,NORMAL,
COMP-00105,LOT-011,9.712,9.715,9.74,9.859,NORMAL,
COMP-00106,LOT-011,9.529,12.797,15.434,20.36,ANOMALY,Infant Mortality
COMP-00107,LOT-011,9.688,9.672,9.639,9.765,NORMAL,
COMP-00108,LOT-011,9.412,9.604,12.934,21.857,ANOMALY,Random Failure
COMP-00109,LOT-011,9.088,9.086,9.094,9.211,NORMAL,
COMP-00110,LOT-011,9.474,9.521,9.558,9.569,NORMAL,
COMP-00111,LOT-012,9.622,9.593,9.73,9.611,NORMAL,
COMP-00112,LOT-012,9.192,9.156,9.239,9.159,NORMAL,
COMP-00113,LOT-012,9.723,9.688,9.766,9.81,NORMAL,
COMP-00114,LOT-012,9.815,12.706,16.315,20.823,ANOMALY,Infant Mortality
COMP-00115,LOT-012,9.641,12.528,15.963,21.019,ANOMALY,Wear-out
COMP-00116,LOT-012,9.353,9.313,9.342,9.493,NORMAL,
